source_resource_type,region,target_region,server_name,target_server_name,server_id,include_in_deploy,source_flavor_id,source_flavor_name,source_ram_mb,source_vcpus,source_disk_gb,source_image_name,source_image_os_distro,source_image_os_version,target_flavor_id,target_flavor_name,target_ram_mb,target_vcpus,target_disk_gb,target_hourly_rate_usd,target_daily_cost_min_usd,target_monthly_cost_min_usd,recommended_target_image_name,image_recommendation_note,cloud_init_user_data,boot_volume_source_size_gb,boot_volume_source_device,boot_volume_target_device,needs_floating_ip,floating_network,boot_strategy,boot_from_volume_size_gb,attached_data_volumes_count,conversion_note,alt_1,alt_2,alt_3
cloud_server,iad,IAD,Server-27,Server-27,a0d77b7e-385e-4768-baa9-29e564a40052,yes,general1-1,1 GB General Purpose v1,1024,1,20,AlmaLinux 9 (PVHVM),alma,9,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2048,2,40,0.0390,0.94,28.08,AlmaLinux 9,alma_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,gp.0.2.4 (4daf46f4-69f8-4057-9873-9160a93b1b0d) score=2.1000,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=3.8000,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=3.2000
cloud_server,iad,IAD,haproxyopsc,haproxyopsc,08c9a1a4-55b9-45e0-8b99-eeb5789c4fe2,yes,general1-4,4 GB General Purpose v1,4096,4,80,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,3a805405-352f-4f5b-97e3-6d9fd178df38,gp.0.4.4,4096,4,80,0.0860,2.06,61.92,Ubuntu 24.04,ubuntu_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,gp.0.4.16 (10be94cd-30c9-4681-bd58-e770d65f8837) score=1.4500,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=10.2500,gp.0.16.64 (46e9323b-82b0-463c-ba89-57f8f4ddf1b7) score=10.3500
cloud_server,iad,IAD,u24clean,u24clean,de46ca25-136c-4b88-b7a3-40c680962c5c,yes,general1-2,2 GB General Purpose v1,2048,2,40,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 24.04,ubuntu_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,gp.0.4.16 (10be94cd-30c9-4681-bd58-e770d65f8837) score=4.3000,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=0.9000,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=1.0000
cloud_server,iad,IAD,debian12,debian12,59065b63-15b9-4099-b5ea-f5ab005f8b2c,yes,general1-2,2 GB General Purpose v1,2048,2,40,Debian 12 (Bookworm) (PVHVM),debian,12,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2048,2,40,0.0390,0.94,28.08,Debian 12,debian_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,gp.0.4.16 (10be94cd-30c9-4681-bd58-e770d65f8837) score=4.3000,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=0.9000,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=1.0000
cloud_server,iad,IAD,u24 green server,u24 green server,13b9ba25-fe39-4169-a1fb-437276a07e45,yes,general1-2,2 GB General Purpose v1,2048,2,40,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 24.04,ubuntu_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,2,,gp.0.4.16 (10be94cd-30c9-4681-bd58-e770d65f8837) score=4.3000,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=0.9000,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=1.0000
cloud_server,iad,IAD,u-22,u-22,dd5476a0-6479-4f56-aefd-8b50db956412,yes,general1-2,2 GB General Purpose v1,2048,2,40,Ubuntu 22.04 LTS (Jammy Jellyfish) (Cloud),ubuntu,22.04,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 22.04,ubuntu_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,gp.0.4.16 (10be94cd-30c9-4681-bd58-e770d65f8837) score=4.3000,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=0.9000,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=1.0000
cloud_server,iad,IAD,Server-21,Server-21,bb29c9d8-1b00-4c6f-852f-d07fe4c8b749,yes,general1-2,2 GB General Purpose v1,2048,2,40,AlmaLinux 9 (PVHVM),alma,9,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2048,2,40,0.0390,0.94,28.08,AlmaLinux 9,alma_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,gp.0.4.16 (10be94cd-30c9-4681-bd58-e770d65f8837) score=4.3000,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=0.9000,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=1.0000
cloud_server,iad,IAD,musicradio,musicradio,faa49462-d7ab-475b-9aa6-5d65a16667e8,yes,general1-2,2 GB General Purpose v1,2048,2,40,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 24.04,ubuntu_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,gp.0.4.16 (10be94cd-30c9-4681-bd58-e770d65f8837) score=4.3000,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=0.9000,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=1.0000
cloud_server,iad,IAD,postgresqlU24,postgresqlU24,7beb21aa-2937-43b5-ae77-3d849ba2bd5e,yes,general1-1,1 GB General Purpose v1,1024,1,20,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 24.04,ubuntu_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,1,,gp.0.2.4 (4daf46f4-69f8-4057-9873-9160a93b1b0d) score=2.1000,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=3.8000,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=3.2000
cloud_server,iad,IAD,mongo db u24,mongo db u24,401890d9-81b8-4a8c-9ede-cfe6f4397eeb,yes,general1-1,1 GB General Purpose v1,1024,1,20,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 24.04,ubuntu_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,gp.0.2.4 (4daf46f4-69f8-4057-9873-9160a93b1b0d) score=2.1000,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=3.8000,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=3.2000
