collected_at,service_type,region,name,resource_id,status,created,updated,public_ips,private_ips,flavor_id,image_id,image_name,image_os_distro,image_os_version,image_os_type,image_release_id,image_lookup_error,image_schedule,hypervisor_id,size_gb,attachments,protocol,node_count,datastore_type,datastore_version,backup_schedule_enabled,ha_group_id,email_address,backup_container,is_encrypted,datacenter,details_json,cidr,gateway_ip,network_id,object_count,bytes_used,cdn_enabled,stack_status_reason
2026-06-30T10:38:51.303415Z,cloud_server,iad,Server-27,a0d77b7e-385e-4768-baa9-29e564a40052,ACTIVE,2026-06-24T08:58:10Z,,2001:4802:7803:104:be76:4eff:fe20:e5d; 23.253.159.183,10.176.194.2,general1-1,233f8254-398c-4d2e-b817-c543a1d1ea6c,AlmaLinux 9 (PVHVM),alma,9,linux,alma_9_pvhvm,,,fd56ae0eee4bc449566e788cae78f0a858ee0ca4ba55e3657861a597,,,,,,,,,,,,,,,,,,,,
2026-06-30T10:38:51.631902Z,cloud_server,iad,haproxyopsc,08c9a1a4-55b9-45e0-8b99-eeb5789c4fe2,ACTIVE,2026-06-11T18:31:21Z,,2001:4802:7803:104:be76:4eff:fe20:b2a; 23.253.159.45,10.176.192.255,general1-4,2fd07c5d-3104-4931-882b-4fe6a115c3bd,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,linux,ubuntu_24.04_lts_cloud,,,f923e39eba27798a2de9231a55c843a509e436a0cac66b43bbce573f,,,,,,,,,,,,,,,,,,,,
2026-06-30T10:38:51.631933Z,cloud_server,iad,u24clean,de46ca25-136c-4b88-b7a3-40c680962c5c,ACTIVE,2026-05-17T10:57:45Z,,104.130.26.122; 2001:4802:7803:104:be76:4eff:fe20:3ed,10.176.192.91,general1-2,2fd07c5d-3104-4931-882b-4fe6a115c3bd,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,linux,ubuntu_24.04_lts_cloud,,,1d9289b33dd8ef4f25491d501b561a3b346926f6539fc93a8c33d655,,,,,,,,,,,,,,,,,,,,
2026-06-30T10:38:51.946869Z,cloud_server,iad,debian12,59065b63-15b9-4099-b5ea-f5ab005f8b2c,ACTIVE,2026-05-17T02:35:43Z,,104.130.13.12; 2001:4802:7803:104:be76:4eff:fe20:e91,10.176.194.47,general1-2,c4dc0279-67d9-4272-a4d3-ddfe2eaf4d4c,Debian 12 (Bookworm) (PVHVM),debian,12,linux,debian_12_pvhvm,,,bd09ad34859cfde86e57c09610ad617fe7281f7d18ae61533bbd5960,,,,,,,,,,,,,,,,,,,,
2026-06-30T10:38:51.946901Z,cloud_server,iad,u24 green server,13b9ba25-fe39-4169-a1fb-437276a07e45,ACTIVE,2026-05-17T02:34:43Z,,2001:4802:7803:104:be76:4eff:fe20:e3c; 23.253.159.251,10.176.194.35,general1-2,2fd07c5d-3104-4931-882b-4fe6a115c3bd,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,linux,ubuntu_24.04_lts_cloud,,,fd56ae0eee4bc449566e788cae78f0a858ee0ca4ba55e3657861a597,,,,,,,,,,,,,,,,,,,,
2026-06-30T10:38:52.259609Z,cloud_server,iad,u-22,dd5476a0-6479-4f56-aefd-8b50db956412,ACTIVE,2026-05-17T02:34:09Z,,23.253.159.243; 2001:4802:7803:104:be76:4eff:fe20:e07,10.176.194.16,general1-2,c2e5b7be-32ea-4f74-bb88-1c9a4104f8ca,Ubuntu 22.04 LTS (Jammy Jellyfish) (Cloud),ubuntu,22.04,linux,ubuntu_22.04_lts_cloud,,,661b6a393c6b9660a8a037357c2b1c750a682fa4474bceecf1bd8abf,,,,,,,,,,,,,,,,,,,,
2026-06-30T10:38:52.259646Z,cloud_server,iad,Server-21,bb29c9d8-1b00-4c6f-852f-d07fe4c8b749,ACTIVE,2026-05-16T14:56:06Z,,23.253.159.18; 2001:4802:7803:104:be76:4eff:fe20:6af,10.176.193.7,general1-2,233f8254-398c-4d2e-b817-c543a1d1ea6c,AlmaLinux 9 (PVHVM),alma,9,linux,alma_9_pvhvm,,,1d9289b33dd8ef4f25491d501b561a3b346926f6539fc93a8c33d655,,,,,,,,,,,,,,,,,,,,
2026-06-30T10:38:52.259660Z,cloud_server,iad,musicradio,faa49462-d7ab-475b-9aa6-5d65a16667e8,ACTIVE,2026-05-16T12:13:09Z,,2001:4802:7803:104:be76:4eff:fe20:454; 104.130.26.6,10.176.192.4,general1-2,2fd07c5d-3104-4931-882b-4fe6a115c3bd,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,linux,ubuntu_24.04_lts_cloud,,,1d9289b33dd8ef4f25491d501b561a3b346926f6539fc93a8c33d655,,,,,,,,,,,,,,,,,,,,
2026-06-30T10:38:52.259672Z,cloud_server,iad,postgresqlU24,7beb21aa-2937-43b5-ae77-3d849ba2bd5e,ACTIVE,2026-05-16T07:43:51Z,,2001:4802:7803:104:be76:4eff:fe20:164; 104.130.26.81,10.176.192.108,general1-1,2fd07c5d-3104-4931-882b-4fe6a115c3bd,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,linux,ubuntu_24.04_lts_cloud,,,f923e39eba27798a2de9231a55c843a509e436a0cac66b43bbce573f,,,,,,,,,,,,,,,,,,,,
2026-06-30T10:38:52.259682Z,cloud_server,iad,mongo db u24,401890d9-81b8-4a8c-9ede-cfe6f4397eeb,ACTIVE,2026-05-16T00:50:07Z,,104.130.26.247; 2001:4802:7803:104:be76:4eff:fe20:11c,10.176.192.247,general1-1,2fd07c5d-3104-4931-882b-4fe6a115c3bd,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,linux,ubuntu_24.04_lts_cloud,,,0145676ba18499d3e4bdf4d82ec2c60d7dafb5b03a9550f261fbe1f3,,,,,,,,,,,,,,,,,,,,
2026-06-30T10:38:52.259691Z,cloud_server,iad,ospcwin2019,09d88d96-901d-4741-9a61-38bfbd466e84,ACTIVE,2026-05-08T08:41:21Z,,23.253.159.176; 2001:4802:7803:104:be76:4eff:fe20:ef2,10.176.193.227,general1-1,,,,,,,,,e17b4a16dd75a2fae8b1840c4df0fd048b353c83bacc08919c7aa074,,,,,,,,,,,,,,,,,,,,
2026-06-30T10:38:52.572291Z,cloud_server,iad,opscwin2016,d69037a7-8441-42e2-b349-30628dbd7ecc,ACTIVE,2026-05-08T08:39:12Z,,104.130.26.118; 2001:4802:7803:104:be76:4eff:fe20:308,10.176.192.154,general1-2,1ccd0f49-2169-4854-9222-443914c71830,Windows Server 2016,,2016,windows,windows_2016,,,bb55dde53101a779eaf41bfd454f59371fadb08f26e500d718de5430,,,,,,,,,,,,,,,,,,,,
2026-06-30T10:38:52.572321Z,cloud_server,iad,bigjumpwindowsiad,77fbe978-4b0b-43cd-8722-47a495827d49,ACTIVE,2026-04-27T07:27:43Z,,2001:4802:7803:101:be76:4eff:fe20:4ac; 104.130.29.126,10.209.32.49,compute1-30,,,,,,,,,20b1cdbbdbdc0b52cb2520133f15b58c38e61b011c41aa2d214733f9,,,,,,,,,,,,,,,,,,,,
2026-06-30T10:38:53.052454Z,cloud_server,iad,test-c7hwfix-iad-1,f2110fde-3890-464c-b35c-8ee1dc0bbf24,ACTIVE,2026-04-25T17:05:27Z,,104.130.26.245; 2001:4802:7803:104:be76:4eff:fe20:773,10.176.192.219,general1-4,53d597be-89ea-4c46-a169-dce0fb50b24b,c7hwfix-20260425,,,linux,,,,fd56ae0eee4bc449566e788cae78f0a858ee0ca4ba55e3657861a597,,,,,,,,,,,,,,,,,,,,
2026-06-30T10:38:53.052489Z,cloud_server,iad,Bigjim-iad,467cf940-3b81-43d6-985f-3cbe90ed98e9,ACTIVE,2026-04-25T13:51:53Z,,104.239.169.89; 2001:4802:7803:101:be76:4eff:fe20:1013,10.209.32.79,compute1-30,,,,,,,,,5801947fad87b2fe3007edb1ea0757c221ab128fc488efa591d28b01,,,,,,,,,,,,,,,,,,,,
