phase,resource_type,source_server_id,resource_name,target_flavor_name,action,status,reason
compute,server,55ee25c0-0fea-45c7-a800-8594ba587ba8,jenkins,gp.5.4.4,create_server_local_boot,planned,"image=Rocky Linux 8,auth_mode=ssh_key"
compute,server,cd6a356c-62fc-4763-aafc-ca342ec8f923,debian11new,gp.5.2.2,create_server_local_boot,planned,"image=Debian 11,auth_mode=ssh_key"
compute,server,9262a99e-6bd3-495d-bacd-06a015b29088,dbian10new,gp.5.2.2,create_server_local_boot,planned,"image=Debian 11,auth_mode=ssh_key"
compute,server,f4dd8084-20c4-40a4-8784-7db8c6c5162a,u20,gp.5.2.2,create_server_local_boot,planned,"image=Ubuntu 20.04,auth_mode=ssh_key"
compute,server,690a3cb9-2cd7-43ac-aa5d-16f1092b9ac2,debian10,gp.5.2.2,create_server_local_boot,planned,"image=Debian 11,auth_mode=ssh_key"
compute,server,12962165-11ca-498c-8a2f-db69947f9264,rocky9,gp.5.2.2,create_server_local_boot,planned,"image=Rocky Linux 9,auth_mode=ssh_key"
compute,server,f4680994-c54f-473a-8549-b6fb1176088c,alma8,gp.5.2.4,create_server_boot_from_volume,planned,"boot_volume_size_gb=50,source_boot_size_gb=50,image_min_disk_gb=20,auth_mode=ssh_key"
compute,server,74ae2aed-ea59-49f4-8e1d-cca502d526b8,dbian11,gp.5.2.4,create_server_boot_from_volume,planned,"boot_volume_size_gb=50,source_boot_size_gb=50,image_min_disk_gb=20,auth_mode=ssh_key"
compute,server,8d7309ea-f39c-417b-8f50-c28f76ffd9db,dbian12,gp.5.2.4,create_server_boot_from_volume,planned,"boot_volume_size_gb=50,source_boot_size_gb=50,image_min_disk_gb=20,auth_mode=ssh_key"
compute,server,3c37b506-7570-4d9d-8843-3629f65bcbda,u22,gp.5.2.4,create_server_boot_from_volume,planned,"boot_volume_size_gb=50,source_boot_size_gb=50,image_min_disk_gb=20,auth_mode=ssh_key"
compute,server,e177369d-f3f2-4593-bfb1-d8837614ce57,debianlaptopu24,gp.5.2.4,create_server_boot_from_volume,planned,"boot_volume_size_gb=50,source_boot_size_gb=50,image_min_disk_gb=20,auth_mode=ssh_key"
compute,server,4229bb9a-cc0e-4f4b-9142-949cb887cc50,VMmigrator,gp.5.8.16,create_server_local_boot,planned,"image=Ubuntu 24.04,auth_mode=ssh_key"
compute,server,e015f188-5e04-4af8-884b-d924375c82ea,u24-FrontEndlaptou24,gp.5.4.8,create_server_local_boot,planned,"image=Ubuntu 24.04,auth_mode=ssh_key"
compute,server,0c0f8ab2-da94-4356-9bc0-ca13e0a14563,db-replica2,gp.5.4.8,create_server_local_boot,planned,"image=Ubuntu 24.04,auth_mode=ssh_key"
compute,server,6f7faf71-b98b-4b2f-a99e-92da841318fa,db-replica1,gp.5.4.8,create_server_local_boot,planned,"image=Ubuntu 24.04,auth_mode=ssh_key"
compute,server,64783844-672f-4c87-8bd5-dac19690875f,target flex dbaas,gp.5.4.8,create_server_local_boot,planned,"image=Ubuntu 24.04,auth_mode=ssh_key"
compute,server,de2cc03b-b53a-4f32-8b1b-8a3c9d757069,Alma9,gp.5.4.8,create_server_local_boot,planned,"image=AlmaLinux 9,auth_mode=ssh_key"
compute,server,7afcc45d-4080-475e-a771-8ee1f265ef5c,rocky8,gp.5.4.8,create_server_local_boot,planned,"image=Rocky Linux 8,auth_mode=ssh_key"
compute,server,39e0d438-46cf-47c3-88e6-5a5f84859a84,ospc-jumpHost,gp.5.2.2,create_server_local_boot,planned,"image=Ubuntu 24.04,auth_mode=ssh_key"
compute,server,d9b51e0a-f7ae-4678-9e18-2971089c6af7,u24-postgresl,gp.5.2.2,create_server_local_boot,planned,"image=Ubuntu 24.04,auth_mode=ssh_key"
compute,server,d8753e16-0039-4c04-993c-7e14be21e212,Windows Server 2019Re,gp.5.2.4,create_server_local_boot,planned,"image=Windows Server 2019,auth_mode=windows_password"
compute,server,47f882bf-4d6d-41d6-baef-cfcc7a9c5e61,win2019websql2019,gp.5.2.4,create_server_local_boot,planned,"image=Windows Server 2019 with SQL 2019 Web,auth_mode=windows_password"
compute,server,741c63ea-e4ae-4048-b6cb-fc7b7716034e,Windows Server 2016 + SQL Server 2019,gp.5.2.4,create_server_local_boot,planned,"image=Windows Server 2016,auth_mode=windows_password"
compute,server,6b24fa27-fada-461b-b50a-41cb64e453ab,u24Backend,gp.5.2.2,create_server_local_boot,planned,"image=Ubuntu 24.04,auth_mode=ssh_key"
load_balancer,load_balancer,,frontend- Load-Balancer-01,,create_or_reuse_lb_stack,planned,"provider=amphora,protocol=HTTP,listener_port=80,algorithm=LEAST_CONNECTIONS"
load_balancer,load_balancer,,u24backend,,create_or_reuse_lb_stack,planned,"provider=amphora,protocol=HTTP,listener_port=80,algorithm=LEAST_CONNECTIONS"
load_balancer,load_balancer_member,de2cc03b-b53a-4f32-8b1b-8a3c9d757069,Alma9,,ensure_lb_pool_member,planned,"lb=u24backend,pool=u24backend-pool,member_port=80"
load_balancer,load_balancer_member,6b24fa27-fada-461b-b50a-41cb64e453ab,u24Backend,,ensure_lb_pool_member,planned,"lb=u24backend,pool=u24backend-pool,member_port=80"
load_balancer,load_balancer,,DB_loadbalancer MYSQL,,create_or_reuse_lb_stack,planned,"provider=amphora,protocol=MYSQL,listener_port=3306,algorithm=ROUND_ROBIN"
load_balancer,load_balancer,,LBmariaDB,,create_or_reuse_lb_stack,planned,"provider=amphora,protocol=MYSQL,listener_port=3306,algorithm=LEAST_CONNECTIONS"
load_balancer,load_balancer,,perconaLB,,create_or_reuse_lb_stack,planned,"provider=amphora,protocol=MYSQL,listener_port=3306,algorithm=LEAST_CONNECTIONS"
storage,volume,4229bb9a-cc0e-4f4b-9142-949cb887cc50,vmmigrator-data-1,gp.5.8.16,create_and_attach_volume,planned,"server=VMmigrator,device=/dev/vdb,size_gb=750"
storage,volume,39e0d438-46cf-47c3-88e6-5a5f84859a84,ospc-jumphost-data-1,gp.5.2.2,create_and_attach_volume,planned,"server=ospc-jumpHost,device=/dev/vdc,size_gb=200"
storage,volume,39e0d438-46cf-47c3-88e6-5a5f84859a84,ospc-jumphost-data-2,gp.5.2.2,create_and_attach_volume,planned,"server=ospc-jumpHost,device=/dev/vdb,size_gb=500"
storage,volume,d9b51e0a-f7ae-4678-9e18-2971089c6af7,u24-postgresl-data-1,gp.5.2.2,create_and_attach_volume,planned,"server=u24-postgresl,device=/dev/vdb,size_gb=75"
storage,volume,d8753e16-0039-4c04-993c-7e14be21e212,windows-server-2019re-data-1,gp.5.2.4,create_and_attach_volume,planned,"server=Windows Server 2019Re,device=/dev/vdb,size_gb=75"
storage,volume,47f882bf-4d6d-41d6-baef-cfcc7a9c5e61,win2019websql2019-data-1,gp.5.2.4,create_and_attach_volume,planned,"server=win2019websql2019,device=/dev/vdb,size_gb=75"
storage,volume,741c63ea-e4ae-4048-b6cb-fc7b7716034e,windows-server-2016-sql-server-2019-data-1,gp.5.2.4,create_and_attach_volume,planned,"server=Windows Server 2016 + SQL Server 2019,device=/dev/vdb,size_gb=75"
storage,volume,6b24fa27-fada-461b-b50a-41cb64e453ab,u24backend-data-1,gp.5.2.2,create_and_attach_volume,planned,"server=u24Backend,device=/dev/vdb,size_gb=75"
