Legacy Environment,Server ID,Legacy Cloud Cost ($),Target Environment,FLEX Cloud Cost ($),Monthly Savings ($),Cost Reduction (%)
OSPC,Legacy-VM-0,200.0,FLEX,398.16,-198.16,-99%
OSPC,Legacy-VM-1,151.7,FLEX,61.92,89.78,59%
OSPC,Legacy-VM-2,200.0,FLEX,398.16,-198.16,-99%
OSPC,Legacy-VM-3,151.7,FLEX,61.92,89.78,59%
OSPC,Legacy-VM-4,151.7,FLEX,61.92,89.78,59%
OSPC,Legacy-VM-5,151.7,FLEX,61.92,89.78,59%
OSPC,Legacy-VM-6,86.44,FLEX,35.28,51.16,59%
OSPC,Legacy-VM-7,86.44,FLEX,35.28,51.16,59%
OSPC,Legacy-VM-8,86.44,FLEX,35.28,51.16,59%
OSPC,Legacy-VM-9,86.44,FLEX,35.28,51.16,59%
OSPC,Legacy-VM-10,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-11,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-12,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-13,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-14,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-15,86.44,FLEX,35.28,51.16,59%
OSPC,Legacy-VM-16,86.44,FLEX,35.28,51.16,59%
OSPC,Legacy-VM-17,86.44,FLEX,35.28,51.16,59%
OSPC,Legacy-VM-18,186.98,FLEX,76.32,110.66,59%
OSPC,Legacy-VM-19,186.98,FLEX,76.32,110.66,59%
OSPC,Legacy-VM-20,151.7,FLEX,61.92,89.78,59%
OSPC,Legacy-VM-21,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-22,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-23,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-24,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-25,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-26,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-27,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-28,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-29,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-30,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-31,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-32,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-33,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-34,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-35,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-36,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-37,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-38,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-39,68.8,FLEX,28.08,40.72,59%
OSPC,Legacy-VM-40,68.8,FLEX,28.08,40.72,59%
