"section","item","detail","status","extra"
"decision","PASS WITH ACCEPTED RISK","by dzoan — done","3 blocker(s), 2 review(s)","7/9/2026, 5:17:02 AM"
"business_system","Automatic Business System from Existing VMs","custom / Critical / Wave 1","READY_FOR_CUTOVER","3 components"
"gate","UAT Scope Locked","","PASS",""
"gate","Component Health","","PASS",""
"gate","Database Gate","live from monitor","BLOCKED",""
"gate","Cache Gate","live from monitor","OUT_OF_SCOPE",""
"gate","Queue Gate","live from monitor","OUT_OF_SCOPE",""
"gate","Backend Gate","live from monitor","PASS",""
"gate","Business Validation","live from monitor","BLOCKED",""
"gate","Traffic Ramp","live from monitor","NOT_RUN",""
"gate","Rollback Plan","","PASS",""
"gate","Sign-Off","","PASS",""
"gate","Evidence Export","live from monitor","NOT_RUN",""
"component","API Gateway — linsnap-API_Gateway_Mobile_AP-20260703-0014","104.130.26.180 -> 50.56.159.92","READY","API Gateway"
"component","Web Frontend — linsnap-bankappfrontend-20260703-0007","23.253.159.71 -> 174.143.59.106:80","READY","Web Frontend"
"component","Database — flexpostgresql","104.130.26.116 -> 50.56.158.21:3306","READY","Database"
"test_plan","API Gateway — linsnap-API_Gateway_Mobile_AP-20260703-0014","104.130.26.180 -> 50.56.159.92 | src - | tgt -","PENDING",""
"test_plan","Web Frontend — linsnap-bankappfrontend-20260703-0007","23.253.159.71 -> 174.143.59.106 | src - | tgt -","PENDING",""
"test_plan","Database — flexpostgresql","104.130.26.116 -> 50.56.158.21 | src - | tgt -","PENDING",""
"test_plan","Traffic Ramp Proof (whole system)","— -> — | src - | tgt -","BLOCKED","One HAProxy ramp covers every component. LIVE from tester/monitor."
"test_plan","End-to-End Mobile Journey","— -> — | src - | tgt -","BLOCKED","Login → summary → transfer → balance through the cutover URL. LIVE from monitor."
"live_monitor","business_validation","","BLOCKED","7/9/2026, 5:16:47 AM"
"live_monitor","traffic_ramp","","NOT_RUN","7/9/2026, 5:16:47 AM"
"live_monitor","backend","","PASS","7/9/2026, 5:16:47 AM"
"live_monitor","evidence","","NOT_RUN","7/9/2026, 5:16:47 AM"
"live_monitor","db","","BLOCKED","7/9/2026, 5:16:47 AM"
"live_monitor","cache","","BLOCKED","7/9/2026, 5:16:47 AM"
"live_monitor","queue","","BLOCKED","7/9/2026, 5:16:47 AM"
"live_monitor","decision","","BLOCKED","7/9/2026, 5:16:47 AM"
"live_monitor","reason","","Login = FAIL; error rate 29% above threshold (5%)","7/9/2026, 5:16:47 AM"
"live_monitor","bench","","cutoverMobileBenchS5C","7/9/2026, 5:16:47 AM"
"open_issue","Live monitor decision: BLOCKED","Login = FAIL; error rate 29% above threshold (5%)","BLOCK","Live Mobile Cutover Monitor"
"open_issue","Business Validation gate: BLOCKED","Run the Full Mobile Journey in the Live Mobile Cutover Monitor.","BLOCK","Cutover Gates"
"open_issue","Database Gate gate: BLOCKED","Run the DB rows in the Business System Test Plan (TCP probe) or the monitor’s direct backend proofs.","BLOCK","Cutover Gates"
"open_issue","Traffic Ramp gate: NOT RUN","Apply a ramp and run the batch proof in the Cutover Tester / monitor.","REVIEW","Cutover Gates"
"open_issue","Evidence Export gate: NOT RUN","Click Save Evidence in the Live Mobile Cutover Monitor.","REVIEW","Cutover Gates"
