phase,resource_type,source_server_id,resource_name,target_flavor_name,action,status,reason
compute,server,cc84a892-b01f-4180-86e8-b434d8513d6a,FlexDFWjumphost,mo.6.4.32,create_server_local_boot,planned,"image=Ubuntu 24.04,auth_mode=ssh_key"
compute,floating_ip,cc84a892-b01f-4180-86e8-b434d8513d6a,FlexDFWjumphost,mo.6.4.32,assign_floating_ip,planned,"server=FlexDFWjumphost,network=PUBLICNET"
compute,server,ad73fa8f-c43b-457b-944d-34441b4ce7a9,Windows-Vol-Helper,mo.6.2.16,create_server_local_boot,planned,"image=Ubuntu 24.04,auth_mode=ssh_key"
compute,floating_ip,ad73fa8f-c43b-457b-944d-34441b4ce7a9,Windows-Vol-Helper,mo.6.2.16,assign_floating_ip,planned,"server=Windows-Vol-Helper,network=PUBLICNET"
compute,server,c120c803-0979-4b02-9ff3-449297926a4a,ospc2flex-dbian12-20260425-2221,gp.5.4.4,create_server_local_boot,planned,"image=ospc2flex-dbian12-20260425-2221,auth_mode=ssh_key"
compute,floating_ip,c120c803-0979-4b02-9ff3-449297926a4a,ospc2flex-dbian12-20260425-2221,gp.5.4.4,assign_floating_ip,planned,"server=ospc2flex-dbian12-20260425-2221,network=PUBLICNET"
compute,server,b64cf830-f23c-4c3b-987d-f95e6eb10354,ospc2flex-alma8-20260425-2221,gp.5.4.4,create_server_local_boot,planned,"image=ospc2flex-alma8-20260425-2221,auth_mode=ssh_key"
compute,floating_ip,b64cf830-f23c-4c3b-987d-f95e6eb10354,ospc2flex-alma8-20260425-2221,gp.5.4.4,assign_floating_ip,planned,"server=ospc2flex-alma8-20260425-2221,network=PUBLICNET"
compute,server,451dd3e2-990e-4852-bfcd-cd7814b393b2,ospc2flex-rocky8-20260425-2221,gp.5.4.4,create_server_local_boot,planned,"image=ospc2flex-rocky8-20260425-2221,auth_mode=ssh_key"
compute,floating_ip,451dd3e2-990e-4852-bfcd-cd7814b393b2,ospc2flex-rocky8-20260425-2221,gp.5.4.4,assign_floating_ip,planned,"server=ospc2flex-rocky8-20260425-2221,network=PUBLICNET"
compute,server,c57b2cda-9621-4d2c-bfd3-3ab3eeab520a,ospc2flex-rocky9-20260425-2221,gp.5.4.4,create_server_local_boot,planned,"image=ospc2flex-rocky9-20260425-2221,auth_mode=ssh_key"
compute,floating_ip,c57b2cda-9621-4d2c-bfd3-3ab3eeab520a,ospc2flex-rocky9-20260425-2221,gp.5.4.4,assign_floating_ip,planned,"server=ospc2flex-rocky9-20260425-2221,network=PUBLICNET"
compute,server,f26fd003-e391-4181-bc49-7d2d1563bfaf,SSHED-ospc2flex-rh6-GL-20260425-1356,gp.5.4.4,create_server_local_boot,planned,"image=ospc2flex-rh6-GL-20260425-1356,auth_mode=ssh_key"
compute,floating_ip,f26fd003-e391-4181-bc49-7d2d1563bfaf,SSHED-ospc2flex-rh6-GL-20260425-1356,gp.5.4.4,assign_floating_ip,planned,"server=SSHED-ospc2flex-rh6-GL-20260425-1356,network=PUBLICNET"
load_balancer,load_balancer,,frontend- Load-Balancer-01,,create_or_reuse_lb_stack,planned,"provider=ovn,protocol=HTTP,listener_port=80,algorithm=ROUND_ROBIN"
load_balancer,load_balancer,,backend,,create_or_reuse_lb_stack,planned,"provider=ovn,protocol=HTTP,listener_port=80,algorithm=ROUND_ROBIN"
load_balancer,load_balancer,,u24backend,,create_or_reuse_lb_stack,planned,"provider=ovn,protocol=HTTP,listener_port=80,algorithm=ROUND_ROBIN"
