phase,resource_type,source_server_id,resource_name,target_flavor_name,action,status,reason
compute,server,632e1a39-10fd-45c3-b995-b22aed273108,FlexDFWjumphost,gp.5.8.32,create_server_local_boot,planned,"image=Ubuntu 24.04,auth_mode=ssh_key"
compute,floating_ip,632e1a39-10fd-45c3-b995-b22aed273108,FlexDFWjumphost,gp.5.8.32,assign_floating_ip,planned,"server=FlexDFWjumphost,network=PUBLICNET"
compute,server,51a1ed0c-9ca4-4966-aca8-8145f7c3b3b6,FlexDFWjumphost,gp.5.8.32,create_server_local_boot,planned,"image=Ubuntu 24.04,auth_mode=ssh_key"
compute,floating_ip,51a1ed0c-9ca4-4966-aca8-8145f7c3b3b6,FlexDFWjumphost,gp.5.8.32,assign_floating_ip,planned,"server=FlexDFWjumphost,network=PUBLICNET"
compute,server,26f81255-643a-41aa-93b5-7d3a3b699fd4,FlexDFWjumphost,gp.5.8.32,create_server_local_boot,planned,"image=Ubuntu 24.04,auth_mode=ssh_key"
compute,floating_ip,26f81255-643a-41aa-93b5-7d3a3b699fd4,FlexDFWjumphost,gp.5.8.32,assign_floating_ip,planned,"server=FlexDFWjumphost,network=PUBLICNET"
compute,server,c0fd39c2-1f5c-4834-90e2-3652eda1af70,FlexDFWjumphost,gp.5.8.32,create_server_local_boot,planned,"image=Ubuntu 24.04,auth_mode=ssh_key"
compute,floating_ip,c0fd39c2-1f5c-4834-90e2-3652eda1af70,FlexDFWjumphost,gp.5.8.32,assign_floating_ip,planned,"server=FlexDFWjumphost,network=PUBLICNET"
compute,server,58d7c38c-a086-4b1a-b43a-9ce058c1c3ae,Windows_Server_2019Re-snap-20260416211842-snapwin-safe-ide-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-final-virtio,gp.5.4.4,create_server_local_boot,planned,"image=Windows Server 2019,auth_mode=windows_password"
compute,floating_ip,58d7c38c-a086-4b1a-b43a-9ce058c1c3ae,Windows_Server_2019Re-snap-20260416211842-snapwin-safe-ide-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-final-virtio,gp.5.4.4,assign_floating_ip,planned,"server=Windows_Server_2019Re-snap-20260416211842-snapwin-safe-ide-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-final-virtio,network=PUBLICNET"
compute,server,13c18f3e-a792-4eb7-a2bf-92bb00d2adb9,opscwin2016-20260509-150218-snap-202605091502-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-final-virtio,gp.5.4.4,create_server_local_boot,planned,"image=Windows Server 2016,auth_mode=windows_password"
compute,floating_ip,13c18f3e-a792-4eb7-a2bf-92bb00d2adb9,opscwin2016-20260509-150218-snap-202605091502-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-final-virtio,gp.5.4.4,assign_floating_ip,planned,"server=opscwin2016-20260509-150218-snap-202605091502-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-final-virtio,network=PUBLICNET"
compute,server,e2039b99-474c-49c5-9271-469ae7a1fa26,IADjumphostu24,gp.5.4.16,create_server_local_boot,planned,"image=Ubuntu 24.04,auth_mode=ssh_key"
compute,floating_ip,e2039b99-474c-49c5-9271-469ae7a1fa26,IADjumphostu24,gp.5.4.16,assign_floating_ip,planned,"server=IADjumphostu24,network=PUBLICNET"
load_balancer,load_balancer,,frontend- Load-Balancer-01,,create_or_reuse_lb_stack,planned,"provider=ovn,protocol=HTTP,listener_port=80,algorithm=ROUND_ROBIN"
load_balancer,load_balancer,,u24backend,,create_or_reuse_lb_stack,planned,"provider=ovn,protocol=HTTP,listener_port=80,algorithm=ROUND_ROBIN"
load_balancer,load_balancer,,DB_loadbalancer MYSQL,,create_or_reuse_lb_stack,planned,"provider=ovn,protocol=HTTP,listener_port=80,algorithm=ROUND_ROBIN"
load_balancer,load_balancer,,LBmariaDB,,create_or_reuse_lb_stack,planned,"provider=ovn,protocol=HTTP,listener_port=80,algorithm=ROUND_ROBIN"
load_balancer,load_balancer,,perconaLB,,create_or_reuse_lb_stack,planned,"provider=ovn,protocol=HTTP,listener_port=80,algorithm=ROUND_ROBIN"
load_balancer,load_balancer,,dblb,,create_or_reuse_lb_stack,planned,"provider=ovn,protocol=HTTP,listener_port=80,algorithm=ROUND_ROBIN"
load_balancer,load_balancer,,backend,,create_or_reuse_lb_stack,planned,"provider=ovn,protocol=HTTP,listener_port=80,algorithm=ROUND_ROBIN"
