phase,resource_type,source_server_id,resource_name,target_flavor_name,action,status,reason
compute,server,58d7c38c-a086-4b1a-b43a-9ce058c1c3ae,Windows_Server_2019Re-snap-20260416211842-snapwin-safe-ide-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-final-virtio,gp.0.4.4,create_server_local_boot,planned,"image=Windows_Server_2019Re-snap-20260416211842-snapwin-safe-ide-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-virtio-ready-img,auth_mode=windows_password"
compute,floating_ip,58d7c38c-a086-4b1a-b43a-9ce058c1c3ae,Windows_Server_2019Re-snap-20260416211842-snapwin-safe-ide-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-final-virtio,gp.0.4.4,assign_floating_ip,planned,"server=Windows_Server_2019Re-snap-20260416211842-snapwin-safe-ide-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-final-virtio,network=PUBLICNET"
compute,server,6837b253-c814-488a-9ff9-3b69bd5970ff,Windows_Server_2019Re-snap-20260416211842-snapwin-safe-ide-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-safe-ide,gp.0.4.4,create_server_local_boot,planned,"image=Windows_Server_2019Re-snap-20260416211842-snapwin-safe-ide-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-safe-ide-img,auth_mode=windows_password"
compute,floating_ip,6837b253-c814-488a-9ff9-3b69bd5970ff,Windows_Server_2019Re-snap-20260416211842-snapwin-safe-ide-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-safe-ide,gp.0.4.4,assign_floating_ip,planned,"server=Windows_Server_2019Re-snap-20260416211842-snapwin-safe-ide-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-safe-ide,network=PUBLICNET"
compute,server,13c18f3e-a792-4eb7-a2bf-92bb00d2adb9,opscwin2016-20260509-150218-snap-202605091502-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-final-virtio,gp.0.4.4,create_server_local_boot,planned,"image=opscwin2016-20260509-150218-snap-202605091502-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-virtio-ready-img,auth_mode=ssh_key"
compute,floating_ip,13c18f3e-a792-4eb7-a2bf-92bb00d2adb9,opscwin2016-20260509-150218-snap-202605091502-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-final-virtio,gp.0.4.4,assign_floating_ip,planned,"server=opscwin2016-20260509-150218-snap-202605091502-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-final-virtio,network=PUBLICNET"
compute,server,f675d450-0f76-4570-8cb7-4a4d46b95fad,opscwin2016-20260509-150218-snap-202605091502-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-safe-ide,gp.0.4.4,create_server_local_boot,planned,"image=opscwin2016-20260509-150218-snap-202605091502-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-safe-ide-img,auth_mode=ssh_key"
compute,floating_ip,f675d450-0f76-4570-8cb7-4a4d46b95fad,opscwin2016-20260509-150218-snap-202605091502-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-safe-ide,gp.0.4.4,assign_floating_ip,planned,"server=opscwin2016-20260509-150218-snap-202605091502-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-safe-ide,network=PUBLICNET"
compute,server,580d7c0c-aba7-4a6a-b7bd-504991aecece,windows2016opsc-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-final-virtio,gp.0.4.4,create_server_local_boot,planned,"image=windows2016opsc-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-virtio-ready-img,auth_mode=windows_password"
compute,floating_ip,580d7c0c-aba7-4a6a-b7bd-504991aecece,windows2016opsc-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-final-virtio,gp.0.4.4,assign_floating_ip,planned,"server=windows2016opsc-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-final-virtio,network=PUBLICNET"
compute,server,4a79038b-23e9-4782-af5b-c3fdfc5916f8,windows2016opsc-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-safe-ide,gp.0.4.4,create_server_local_boot,planned,"image=windows2016opsc-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-safe-ide-img,auth_mode=windows_password"
compute,floating_ip,4a79038b-23e9-4782-af5b-c3fdfc5916f8,windows2016opsc-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-safe-ide,gp.0.4.4,assign_floating_ip,planned,"server=windows2016opsc-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-safe-ide,network=PUBLICNET"
compute,server,8f5d8c55-95c9-40b2-af6a-bd5bc34cb7e4,ospc2flex-u22-20260428-0612-r3-f2f-DFW3-to-IAD3-r3-f2f-IAD3-r3-f2f-1780403571303906911-795ebdfd-37f3b5b6-c53,gp.0.4.4,create_server_local_boot,planned,"image=ospc2flex-u22-20260428-0612-r3-f2f-DFW3-to-IAD3-r3-f2f-DFW3-to-IAD3-r3-f2f-1780403571303906911-795ebdfd-37f3b5b6-c53,auth_mode=ssh_key"
compute,floating_ip,8f5d8c55-95c9-40b2-af6a-bd5bc34cb7e4,ospc2flex-u22-20260428-0612-r3-f2f-DFW3-to-IAD3-r3-f2f-IAD3-r3-f2f-1780403571303906911-795ebdfd-37f3b5b6-c53,gp.0.4.4,assign_floating_ip,planned,"server=ospc2flex-u22-20260428-0612-r3-f2f-DFW3-to-IAD3-r3-f2f-IAD3-r3-f2f-1780403571303906911-795ebdfd-37f3b5b6-c53,network=PUBLICNET"
compute,server,26cab4f6-c3ef-4db5-b8c3-30b1a9717de8,ospc2flex-debian11new-20260425-2030-r3-f2f-DFW3-to-IAD3-r3-f2f-IAD3-r3-f2f-1780403571348846628-0bde8b56-80bd78d8-79b,gp.0.4.4,create_server_local_boot,planned,"image=ospc2flex-debian11new-20260425-2030-r3-f2f-DFW3-to-IAD3-r3-f2f-DFW3-to-IAD3-r3-f2f-1780403571348846628-0bde8b56-80bd78d8-79b,auth_mode=ssh_key"
compute,floating_ip,26cab4f6-c3ef-4db5-b8c3-30b1a9717de8,ospc2flex-debian11new-20260425-2030-r3-f2f-DFW3-to-IAD3-r3-f2f-IAD3-r3-f2f-1780403571348846628-0bde8b56-80bd78d8-79b,gp.0.4.4,assign_floating_ip,planned,"server=ospc2flex-debian11new-20260425-2030-r3-f2f-DFW3-to-IAD3-r3-f2f-IAD3-r3-f2f-1780403571348846628-0bde8b56-80bd78d8-79b,network=PUBLICNET"
compute,server,68839008-b7c1-4c4e-b912-cfee407227ce,ospc2flex-debian11new-20260425-2030-r3-f2f-DFW3-to-IAD3-r3-f2f-IAD3-r3-f2f-1780392500355008154-de118600-80bd78d8-79b,gp.0.4.4,create_server_local_boot,planned,"image=ospc2flex-debian11new-20260425-2030-r3-f2f-DFW3-to-IAD3-r3-f2f-DFW3-to-IAD3-r3-f2f-1780392500355008154-de118600-80bd78d8-79b,auth_mode=ssh_key"
