start_fresh,asset_type,snapshot_name,snapshot_id,source_vm_name,os_distro,size_gb,disk_format,status,migratable,licensed,migration_method,reason,created_at
"true","glance_image","alma9-2gv1-snap-20260409001524","8f2a9f8f-6e75-47a1-aefd-cfb1363699bb","","alma","1.73","vhd","active","true","false","glance-export","downloadable saved image","2026-04-08"
"true","glance_image","alma9-2gv1-snap-20260409002305","18656bbf-813d-461e-88a9-0b6da3695e15","","alma","1.73","vhd","active","true","false","glance-export","downloadable saved image","2026-04-08"
"true","glance_image","alma9-2gv1-snap-20260409102531","9229e141-a1e7-4883-a8db-5174e1455956","","alma","1.74","vhd","active","true","false","glance-export","downloadable saved image","2026-04-09"
"true","glance_image","c7hwfix-20260425","53d597be-89ea-4c46-a169-dce0fb50b24b","","linux","1.15","vhd","active","true","false","glance-export","downloadable saved image","2026-04-25"
"true","glance_image","centos7-snap-20260416210941","477f0792-e508-4ab7-a458-fe67c05ed8fd","","centos","1.22","vhd","active","true","false","glance-export","downloadable saved image","2026-04-16"
"true","glance_image","centos7-snap-20260417001640","8683c70f-7032-42e0-a0cb-29be0d1acb9f","","centos","1.22","vhd","active","true","false","glance-export","downloadable saved image","2026-04-16"
"true","glance_image","centos7-snap-20260417091625","94c8e80a-34fd-4970-a4f8-1c742c0ad27e","","centos","1.22","vhd","active","true","false","glance-export","downloadable saved image","2026-04-17"
"true","glance_image","centos7-snap-20260417100802","8554a31c-7af0-4cef-961f-6dc7e335fe61","","centos","1.22","vhd","active","true","false","glance-export","downloadable saved image","2026-04-17"
"true","glance_image","centos7-snap-20260417101100","b514291f-83a4-4980-b4f9-1c7c71d0e091","","centos","1.22","vhd","active","true","false","glance-export","downloadable saved image","2026-04-17"
"true","glance_image","centos7-snap-20260417101921","290617f3-fcd2-4357-93ab-c5d23d67d3ac","","centos","1.22","vhd","active","true","false","glance-export","downloadable saved image","2026-04-17"
"true","glance_image","dbian10new","76ccdbbd-a82e-4524-ab6b-6b3d086941b3","","debian","0.76","vhd","active","true","false","glance-export","downloadable saved image","2026-05-16"
"true","glance_image","debian10","5b0a1bc9-9528-4c73-bced-35a0f65e4c58","","debian","0.75","vhd","active","true","false","glance-export","downloadable saved image","2026-05-16"
