"ID","Name","Category","Disk (GiB)","CPU","Memory","Internal Network Bandwidth (Gbps)","Ephemeral Disk (GiB)","Cost per Hour","Public"
"03acf2b1-631f-40e0-bb94-994d3eca2b58","mo.6.2.16","Memory Optimized",80,2,"16.00 GiB",4,0,"$0.120","Yes"
"05d771d6-a4c2-48e8-9c28-c7a029cdeb94","gp.5.2.6","General Purpose",40,2,"6.00 GiB",2.5,0,"$0.059","Yes"
"06aba8cf-7181-4d70-be1d-2a46e8c46f22","gp.5.2.8","General Purpose",40,2,"8.00 GiB",3,0,"$0.070","Yes"
"109b073d-f085-451f-88e6-10b73fa23197","mo.6.4.32","Memory Optimized",80,4,"32.00 GiB",6,0,"$0.221","Yes"
"13a531a8-11ae-40e9-9910-f63de0d42faa","mo.6.4.20","Memory Optimized",80,4,"20.00 GiB",5,0,"$0.159","Yes"
"1ba37c74-34c1-47f8-965b-c5005c3825d2","gp.5.4.4","General Purpose",80,4,"4.00 GiB",2,64,"$0.086","Yes"
"1ed24200-5d11-4fde-814d-6b2c2449b313","gp.5.32.128","General Purpose",240,32,"128.00 GiB",8,128,"$1.034","Yes"
"40d4958a-56d9-4c8e-ae8b-3e5072398739","gp.5.24.96","General Purpose",240,24,"96.00 GiB",7.5,128,"$0.794","Yes"
"6bc9e614-d561-477c-a0e2-9122b115789d","gp.5.1.2","General Purpose",0,1,"2.00 GiB",1,0,"$0.020","Yes"
"6bdc8ea7-c5ee-41ea-9d0f-3c56eec58a17","mo.6.4.24","Memory Optimized",80,4,"24.00 GiB",5.5,0,"$0.180","Yes"
"7d1b2ff0-c0cb-4241-bc4f-fece811d6cb1","gp.5.48.192","General Purpose",240,48,"192.00 GiB",8.5,128,"$1.515","Yes"
"813056ca-3e63-4db4-9833-64a8019688e5","gp.5.16.64","General Purpose",240,16,"64.00 GiB",7,128,"$0.553","Yes"
"a78521e3-903a-4124-a844-35893a4b639e","gp.5.4.16","General Purpose",80,4,"16.00 GiB",4,64,"$0.147","Yes"
"b5ccd490-b138-4d81-b8c3-c074287708e8","gp.5.2.4","General Purpose",40,2,"4.00 GiB",2,0,"$0.049","Yes"
"bde423c4-dd71-4710-901d-11905d22229d","mo.6.2.12","Memory Optimized",80,2,"12.00 GiB",3.5,0,"$0.099","Yes"
"c2e4f7c5-26ef-49ca-a121-97e0193304c1","gp.5.4.8","General Purpose",80,4,"8.00 GiB",3,64,"$0.106","Yes"
"c85a20aa-30ee-40ba-8724-51f4860acc7d","gp.5.1.4","General Purpose",10,1,"4.00 GiB",2,0,"$0.032","Yes"
"d00a18da-865b-4b89-9036-ed1736d54649","gp.5.8.16","General Purpose",160,8,"16.00 GiB",4,128,"$0.212","Yes"
"d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08","gp.5.2.2","General Purpose",40,2,"2.00 GiB",1,0,"$0.039","Yes"
"dbd37462-133a-4177-b1f1-56e5a773a027","gp.5.8.24","General Purpose",160,8,"24.00 GiB",5.5,128,"$0.253","Yes"
"e3c7bac5-0652-4122-8597-8eebf7143bb4","mo.6.8.64","Memory Optimized",80,8,"64.00 GiB",7,0,"$0.423","Yes"
"f2e07e6c-20b0-4ffd-92ad-dbafb9fe86fb","gp.5.4.12","General Purpose",80,4,"12.00 GiB",3.5,64,"$0.126","Yes"
"fa77d19e-cd7f-4eee-9222-a5680a58834b","gp.5.8.32","General Purpose",160,8,"32.00 GiB",6,128,"$0.294","Yes"
