"ID","Name","Category","Disk (GiB)","CPU","Memory","Internal Network Bandwidth (Gbps)","Ephemeral Disk (GiB)","Cost per Hour","Public"
"10be94cd-30c9-4681-bd58-e770d65f8837","gp.0.4.16","General Purpose",80,4,"16.00 GiB",4,64,"$0.147","Yes"
"3097f57b-b793-4af8-8285-f4f1cece6d11","gp.0.2.6","General Purpose",40,2,"6.00 GiB",2.5,0,"$0.059","Yes"
"3a805405-352f-4f5b-97e3-6d9fd178df38","gp.0.4.4","General Purpose",80,4,"4.00 GiB",2,64,"$0.086","Yes"
"46e9323b-82b0-463c-ba89-57f8f4ddf1b7","gp.0.16.64","General Purpose",240,16,"64.00 GiB",7,128,"$0.553","Yes"
"48f2fe48-9e1c-47e7-a41e-7bf1027ee933","gp.0.24.96","General Purpose",240,24,"96.00 GiB",7.5,128,"$0.794","Yes"
"4daf46f4-69f8-4057-9873-9160a93b1b0d","gp.0.2.4","General Purpose",40,2,"4.00 GiB",2,0,"$0.049","Yes"
"57e73c80-1639-4689-b569-e6c4bc114963","gp.0.4.8","General Purpose",80,4,"8.00 GiB",3,64,"$0.106","Yes"
"5c5f0730-3fe9-4f4c-9c0e-38669d269ca1","gp.0.2.2","General Purpose",40,2,"2.00 GiB",1,0,"$0.039","Yes"
"6c13ae13-e9f5-482e-98f4-a2440cd681e8","gp.0.2.8","General Purpose",40,2,"8.00 GiB",3,0,"$0.070","Yes"
"7ba21590-21ce-4c90-ab95-5a81121038c8","gp.0.4.12","General Purpose",80,4,"12.00 GiB",3.5,64,"$0.126","Yes"
"8141be05-c0c1-4ce0-8770-5b3aaf413f84","gp.0.32.128","General Purpose",240,32,"128.00 GiB",8,128,"$1.034","Yes"
"8145e6d5-0b75-446c-96d7-e13fbc0610fa","gp.0.1.4","General Purpose",10,1,"4.00 GiB",1,0,"$0.032","Yes"
"82172339-de69-44e5-ba1a-6c799ae60ad4","gp.0.1.2","General Purpose",0,1,"2.00 GiB",1,0,"$0.020","Yes"
"a1ebc4a8-57f7-4036-a11e-cdf9b6743a7c","gp.0.8.16","General Purpose",160,8,"16.00 GiB",4,128,"$0.212","Yes"
"b88dcaf6-a91a-40f2-9a56-cf0ee494e42e","gp.0.48.192","General Purpose",240,48,"192.00 GiB",8.5,128,"$1.515","Yes"
"c4d550da-043b-4fb6-9aa2-8aa5ee6cd3e8","gp.0.8.24","General Purpose",160,8,"24.00 GiB",5.5,128,"$0.253","Yes"
"fdc2f383-92f7-47d5-9ab0-8d76989b67db","gp.0.8.32","General Purpose",160,8,"32.00 GiB",6,128,"$0.294","Yes"
