"ID","Name","Category","Disk (GiB)","CPU","Memory","Internal Network Bandwidth (Gbps)","Ephemeral Disk (GiB)","Cost per Hour","Public"
"07da65c7-9117-450d-a9a4-a4e05c08c5bc","gp.0.16.64","General Purpose",240,16,"64.00 GiB",7,128,"$0.553","Yes"
"12d47105-4893-4b73-a0f9-07e55815d78d","gp.0.2.6","General Purpose",40,2,"6.00 GiB",2.5,0,"$0.059","Yes"
"1f2b42e5-29db-4871-affe-6b10ba5c487d","gp.0.24.96","General Purpose",240,24,"96.00 GiB",7.5,128,"$0.794","Yes"
"204d0927-a294-4a37-8fd5-9b2a8c5e294e","gp.0.2.2","General Purpose",40,2,"2.00 GiB",1,0,"$0.039","Yes"
"2fdbe10c-34ac-4e1e-a0b1-3eb88b6afb56","gp.0.8.24","General Purpose",160,8,"24.00 GiB",5.5,128,"$0.253","Yes"
"385e256a-7eaa-4d96-8742-f0d0f05ea8d4","gp.0.8.16","General Purpose",160,8,"16.00 GiB",4,128,"$0.212","Yes"
"3a444cab-ad32-4e17-8f39-7cbf722a3c8c","gp.0.2.4","General Purpose",40,2,"4.00 GiB",2,0,"$0.049","Yes"
"4176c195-d4bf-4de4-8f93-e6ebb84904a1","gp.0.1.2","General Purpose",0,1,"2.00 GiB",1,0,"$0.020","Yes"
"91c3f635-23d9-42b0-8e6e-b08a7a5d2d1a","mo.1.4.24","Memory Optimized",80,4,"24.00 GiB",5.5,0,"$0.180","Yes"
"a2a5960e-fd6e-42aa-baa5-df154f00c372","gp.0.4.12","General Purpose",80,4,"12.00 GiB",3.5,64,"$0.126","Yes"
"a907e82d-3ab5-4bc9-973d-f3c3ac58dd80","gp.0.2.8","General Purpose",40,2,"8.00 GiB",3,0,"$0.070","Yes"
"aa309302-f57b-45a2-9d35-6f8ecb1a7ace","mo.1.2.16","Memory Optimized",80,2,"16.00 GiB",4,0,"$0.120","Yes"
"aab416f0-e62b-422e-b820-4822c8058130","mo.1.8.64","Memory Optimized",80,8,"64.00 GiB",7,0,"$0.423","Yes"
"c047c58a-4c1e-455a-b3e0-cd0a7124d30f","gp.0.48.192","General Purpose",240,48,"192.00 GiB",8.5,128,"$1.515","Yes"
"cd36fef3-a00e-435c-bf5a-f36d7e5ab09c","gp.0.1.4","General Purpose",10,1,"4.00 GiB",2,0,"$0.032","Yes"
"dd063aaa-3c04-4064-83a3-73faf22c2b16","mo.1.2.12","Memory Optimized",80,2,"12.00 GiB",3.5,0,"$0.099","Yes"
"ddabca4b-1ef9-4ad5-9414-cc6481416532","mo.1.4.20","Memory Optimized",80,4,"20.00 GiB",5,0,"$0.159","Yes"
"e3b84823-9930-47e7-87b3-5c7ea7489126","gp.0.8.32","General Purpose",160,8,"32.00 GiB",6,128,"$0.294","Yes"
"eb4c139d-1d49-4f94-8c12-9492a841a32c","gp.0.4.4","General Purpose",80,4,"4.00 GiB",2,64,"$0.086","Yes"
"f171caa5-9891-465e-b6f2-2301eabc7533","gp.0.4.16","General Purpose",80,4,"16.00 GiB",4,64,"$0.147","Yes"
"f4876b72-8494-488f-852b-e08e2ebe6a7b","gp.0.32.128","General Purpose",240,32,"128.00 GiB",8,128,"$1.034","Yes"
"f5c14236-5681-4bac-9ed6-6e28c7854240","gp.0.4.8","General Purpose",80,4,"8.00 GiB",3,64,"$0.106","Yes"
"f8a0b830-7efd-4434-86ce-90cb2152ff06","mo.1.4.32","Memory Optimized",80,4,"32.00 GiB",6,0,"$0.423","Yes"
